Name,Price,Price (Per Area),Size (Floor),Size (Land),Location,Bedrooms,Bathrooms,Type of Property,URL
Taman SEA,"RM 1,799,900",399.98,"1,800 sqft (lantai),","4,500 (land)","Lorong SS 23/6d, Taman Sea, Petaling Jaya, Selangor",4,3,Rumah Banglo,https://www.propertyguru.com.my/bm/senarai-hartanah/taman-sea-untuk-dijual-oleh-christopher-saw-40225349
"Laman Permai, U5 /95 Subang Bestari, Shah Alam","RM 2,600,000",397.07,"4,372 sqft (lantai),","6,548 (land)","Subang Bestari, Shah Alam, Selangor",6,7,Rumah Banglo,https://www.propertyguru.com.my/bm/senarai-hartanah/laman-permai-u5-95-subang-bestari-shah-alam-untuk-dijual-oleh-sherron-sim-42739403
Ledang Heights,"RM 5,250,000",516.68,"4,400 sqft (lantai),","10,161 (land)","Iskandar Puteri (Nusajaya), Johor",6,6,Rumah Banglo,https://www.propertyguru.com.my/bm/senarai-hartanah/ledang-heights-untuk-dijual-oleh-benson-nec-42867825
Jalan Alor Akar,"RM 1,400,000",114.17,"4,124 sqft (lantai),","12,262 (land)","Alor Akar, Kuantan, Pahang",7,6,Rumah Banglo,https://www.propertyguru.com.my/bm/senarai-hartanah/jalan-alor-akar-untuk-dijual-oleh-mohd-zamri-mohd-duyalmi-42924324
Taman Tun Dr Ismail,"RM 6,500,000",811.38,"4,607 sqft (lantai),","8,011 (land)","Zaaba (Guarded), Taman Tun Dr Ismail, Kuala Lumpur",6,6,Rumah Banglo,https://www.propertyguru.com.my/bm/senarai-hartanah/taman-tun-dr-ismail-untuk-dijual-oleh-yin-peng-39861921
Bungalow Jalan Bunga Raya Seksyen 2 Shah Alam,"RM 1,500,000",205.48,"5,600 sqft (lantai),","7,300 (land)","Bungalow Jalan Bunga Raya Seksyen 2 Shah Alam, Seksyen 2, Shah Alam, Selangor",6,4,Rumah Banglo,https://www.propertyguru.com.my/bm/senarai-hartanah/bungalow-jalan-bunga-raya-seksyen-2-shah-alam-untuk-dijual-oleh-izzah-alias-42864917
Taman TAR,"RM 2,400,000",285.71,"3,256 sqft (lantai),","8,400 (land)","Jalan 4/1 Taman Tun Abdul Razak, Ampang, Selangor",6,4,Rumah Banglo,https://www.propertyguru.com.my/bm/senarai-hartanah/taman-tar-untuk-dijual-oleh-izzah-alias-42865695
Leisure Farm,"RM 7,000,000",204.5,"3,500 sqft (lantai),","34,230 (land)","Jalan Tanjung Kupang, Iskandar Puteri (Nusajaya), Johor",4,4,Rumah Banglo,https://www.propertyguru.com.my/bm/senarai-hartanah/leisure-farm-untuk-dijual-oleh-chua-yek-shin-42528186
Taman Yarl,"RM 4,500,000",200.89,"5,000 sqft (lantai),","22,400 (land)","Jalan Klang Lama (Old Klang Road), Kuala Lumpur",5,4,Rumah Banglo,https://www.propertyguru.com.my/bm/senarai-hartanah/taman-yarl-untuk-dijual-oleh-kenny-choo-42047497
Alam sutera Bukit Jalil,"RM 4,800,000",707.03,"6,000 sqft (lantai),","6,789 (land)","Alam sutera, Bukit Jalil, Kuala Lumpur",8,9,Rumah Banglo,https://www.propertyguru.com.my/bm/senarai-hartanah/alam-sutera-bukit-jalil-untuk-dijual-oleh-jane-shoo-41738094
